sentiment,review
-1,"['look', 'someon', 'spit', 'normal', 'transact', 'everyon', 'chill', 'polit', 'dont', 'want', 'eat', 'im', 'tri', 'think', 'milki', 'white', 'clear', 'substanc', 'sure', 'come', 'back']"
-1,"['made', 'mobil', 'order', 'got', 'speaker', 'check', 'line', 'move', 'leav', 'otherwis', 'late', 'work', 'never', 'got', 'refund', 'app', 'call', 'said', 'could', 'get', 'money', 'back', 'person', 'stuck', 'system', 'went', 'person', 'next', 'day', 'manag', 'told']"
-1,"['repeat', 'order', 'time', 'drive', 'thru', 'still', 'manag', 'mess', 'suppos', 'larg', 'meal', 'doubl', 'filet', 'fish', 'larg', 'chees', 'wrong', 'either', 'need', 'pay', 'close', 'attent', 'order', 'made', 'understand', 'english', 'need', 'work', 'drive', 'thru']"
-1,"['work', 'door', 'dash', 'lock', 'us', 'wait', 'long', 'line', 'reason', 'tri', 'beg', 'open', 'door', 'dash', 'refus', 'covid', 'get', 'new', 'job']"
-1,"['could', 'give', 'locat', 'zero', 'custom', 'servic', 'would', 'pull', 'drive', 'place', 'simpl', 'order', 'order', 'regular', 'hamburg', 'cooki', 'paid', 'pull', 'window', 'pick', 'told', 'pull', 'space', 'sat', 'sat', 'minut', 'later', 'order', 'went', 'counter', 'yell', 'hello', 'three', 'time', 'young', 'ladi', 'came', 'ask', 'handl', 'front', 'counter', 'young', 'girl', 'appear', 'make', 'complaint', 'shorter', 'show', 'receipt', 'anoth', 'minut', 'later', 'got', 'order', 'anoth', 'order', 'drink', 'sit', 'counter', 'never', 'got', 'person', 'order', 'get', 'home', 'regular', 'hamburg', 'cooki', 'everyon', 'even', 'bother', 'go', 'locat', 'horribl', 'experi', 'everi', 'time', 'see', 'review']"
-1,"['came', 'order', 'larg', 'coffe', 'w', 'ice', 'hand', 'cup', 'less', 'half', 'way', 'full', 'ask', 'employe', 'flor', 'could', 'give', 'larg', 'coffe', 'w', 'ice', 'said', 'will', 'pay', 'get', 'full', 'cup', 'coffe', 'alway', 'get', 'larg', 'sweet', 'tea', 'w', 'ice']"
-1,"['went', 'thru', 'drive', 'thru', 'order', 'get', 'home', 'notic', 'piec', 'nugget', 'miss', 'tri', 'call', 'restaur', 'noth', 'ladi', 'gave', 'hard', 'time', 'extra', 'sauc', 'unhappi']"
-1,"['worst', 'mcdonald']"
-1,"['morn', 'crew', 'seem', 'fast', 'effici', 'night', 'crew', 'whole', 'differ', 'experi', 'line', 'street', 'hour', 'long', 'wait', 'time', 'occurr', 'bad', 'night', 'problem', 'beyond', 'staff', 'high', 'rude', 'leav', 'want', 'crash', 'car', 'build', 'forget', 'mistak', 'order', 'almost', 'everi', 'singl', 'time', 'well', 'serv', 'cold']"
-1,"['order', 'wrong', 'left', 'part', 'order', 'also', 'drink', 'cup', 'lid', 'fatten', 'poor', 'servic', 'girl', 'hand', 'order', 'window', 'januari', 'pm']"
-1,"['boy', 'attend', 'made', 'wait', 'saw', 'drink', 'wrong', 'threw', 'bag', 'grimac', 'disappoint']"
-1,"['happi', 'today', 'went', 'bought', 'strawberri', 'banana', 'smoothi', 'hash', 'brown', 'smoothi', 'tast', 'straight', 'ice', 'water', 'smh', 'disappoint', 'servic', 'smoothi', 'never', 'tast', 'never', 'especi', 'fact', 'bought', 'kid', 'need', 'someon', 'contact', 'corpor', 'someth', 'happi', 'wast', 'money']"
-1,"['believ', 'experi', 'order', 'taker', 'went', 'drive', 'thru', 'employe', 'direct', 'ask', 'want', 'keep', 'rush', 'take', 'order', 'car', 'place', 'order', 'want', 'add', 'item', 'ask', 'minut', 'keep', 'ask', 'els', 'said', 'readi', 'respons', 'car', 'place', 'order', 'time', 'either', 'told', 'readi', 'respond', 'paus', 'want', 'excus', 'talk', 'custom', 'ask', 'name', 'put', 'review', 'flat', 'deni', 'ask', 'receipt', 'hand', 'credit', 'card', 'swipe', 'return', 'back', 'card', 'wait', 'receipt', 'famili', 'car', 'start', 'input', 'anoth', 'order', 'tablet', 'wait', 'sometim', 'waiv', 'hand', 'sever', 'time', 'open', 'window', 'said', 'get', 'receipt', 'next', 'window', 'excus', 'went', 'next', 'window', 'pick', 'ask', 'manag', 'got', 'name', 'jamar', 'receipt', 'state', 'pm', 'order', 'want', 'complain', 'intoler']"
